SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
273,2,16,7,218,15
274,2,20,18,217,15
275,1,22,16,216,15
276,1,21,37,215,15
277,1,25,11,214,15
278,2,19,4,214,15
279,1,22,1,214,15
280,2,22,3,213,15
281,1,21,33,212,15
282,1,28,37,212,15
283,2,17,10,212,15
284,1,21,12,212,15
285,2,21,1,210,15
286,1,18,29,210,15
287,2,24,12,206,15
288,1,21,32,204,15
289,1,23,7,201,15
290,2,17,13,200,15
291,1,18,9,198,15
292,1,19,30,196,15
293,2,26,22,196,15
294,2,17,3,196,15
295,2,23,27,194,15
296,1,22,37,194,15
297,1,19,22,194,15
298,2,17,24,192,15
299,2,21,4,192,15
300,1,19,3,192,15
301,1,19,11,192,15
302,1,19,28,190,15
303,1,28,28,190,15
304,1,27,3,190,15
305,1,22,4,190,15
306,2,18,22,190,15
307,2,25,10,190,7
308,2,20,4,190,15
309,2,21,1,190,15
310,2,22,10,190,15
311,1,20,22,190,15
312,2,19,13,188,15
313,1,18,29,188,15
314,2,19,27,188,15
315,1,19,3,188,15
316,2,18,22,188,15
317,1,24,23,188,15
318,1,19,30,188,15
319,1,21,16,186,15
320,1,23,22,186,15
321,2,24,19,186,15
322,1,19,23,182,15
323,2,21,7,182,15
324,1,19,16,182,15
325,1,30,7,182,1
326,1,20,31,182,15
327,1,21,22,180,15
328,1,19,29,180,15
329,1,21,22,180,15
330,1,20,26,180,15
331,1,23,30,209,16
332,1,20,30,207,16
333,1,28,34,196,16
334,1,24,22,193,16
335,2,31,8,193,16
336,1,22,23,180,16
337,2,30,2,231,19
338,1,22,36,230,19
339,2,30,19,228,19
340,2,28,18,220,19
341,1,26,27,214,19
342,2,18,25,212,19
343,1,19,22,210,19
344,1,19,22,207,19
345,2,17,37,206,19
346,1,22,20,206,19
347,1,23,20,204,19
348,1,27,15,204,19
349,1,24,20,203,19
350,1,26,20,200,19
351,2,21,17,196,19
352,2,17,5,195,19
353,1,20,30,195,19
354,1,29,20,193,19
355,1,24,18,193,19
356,2,23,37,190,7
357,2,19,25,188,19
358,2,20,30,186,19
359,2,16,23,186,19
360,1,23,23,185,19
361,2,20,17,184,19
362,1,22,37,184,19
363,2,19,5,184,19
364,1,44,23,182,19
365,1,21,30,182,19
366,2,17,33,182,23
367,1,30,35,181,19
368,2,22,12,180,19
369,2,28,16,255,7
370,2,20,28,249,7
371,2,22,30,246,7
372,2,19,1,244,7
373,2,23,16,242,7
374,2,21,16,242,7
375,2,21,28,240,7
376,2,18,13,238,7
377,2,16,14,237,7
378,2,18,22,235,7
379,1,26,29,233,7
380,2,16,9,232,7
381,1,31,30,229,7
382,2,18,22,228,7
383,2,24,9,227,7
384,2,22,7,225,7
385,2,19,14,231,7
386,2,21,4,224,7
387,1,19,4,216,7
388,2,24,12,214,7
389,2,21,6,212,7
390,2,20,1,210,7
391,1,26,3,204,7
392,1,19,37,203,7
393,1,20,14,203,7
394,1,19,11,201,7
395,1,23,9,201,7
396,2,20,14,200,7
397,2,18,30,198,7
398,1,28,37,195,7
399,2,17,37,192,7
400,2,23,23,189,7
401,1,19,4,188,7
402,1,22,29,188,7
403,1,21,37,188,7
404,2,21,34,186,7
405,1,21,7,186,7
406,2,20,1,186,7
407,2,22,37,185,7
408,2,18,30,182,7
409,1,22,26,180,7
410,1,24,28,224,7
411,1,21,23,201,7
412,1,23,8,185,7
413,2,21,22,239,7
414,2,21,3,223,7
415,2,20,7,222,7
416,1,19,16,216,7
417,1,22,14,198,7
418,2,20,9,198,7
419,2,21,18,195,7
420,2,22,7,180,7
421,2,19,22,250,7
422,2,31,19,222,7
423,1,34,27,222,7
424,2,30,15,219,7
425,2,32,8,217,7
426,2,19,23,214,7
427,1,25,26,212,7
428,1,22,25,211,7
429,2,19,19,207,7
430,2,18,23,200,7
431,1,22,22,198,7
432,2,23,37,196,7
433,1,17,30,194,7
434,2,21,25,189,7
435,1,27,37,183,7
436,1,21,14,237,6
437,2,17,7,224,6
438,2,26,3,203,6
439,2,16,4,194,6
440,2,16,14,193,6
441,2,19,26,192,6
442,2,22,3,191,6
443,1,23,29,189,6
444,1,19,25,185,6
445,1,26,29,182,6
446,1,21,30,180,6
447,1,28,14,232,5
448,2,17,29,231,5
449,1,23,13,229,5
450,2,22,31,225,5
451,1,17,4,222,5
452,1,38,1,222,5
453,2,21,11,219,5
454,1,22,30,219,5
455,1,23,22,217,5
456,2,21,7,213,5
457,1,19,7,213,5
458,2,17,4,213,5
459,2,19,22,210,5
460,1,21,37,208,5
461,1,19,37,205,5
462,1,24,29,247,4
463,2,17,5,237,4
464,1,21,14,235,4
465,1,19,12,234,4
466,2,19,22,227,4
467,2,20,15,225,9
468,1,23,29,224,4
469,2,21,16,224,4
470,2,23,28,222,4
471,1,20,10,222,4
472,2,21,16,220,4
473,1,18,37,220,4
474,2,18,14,218,4
475,2,19,25,216,4
476,2,17,23,216,4
477,2,17,28,214,4
478,2,23,12,242,7
479,1,23,26,220,7
480,2,16,1,219,7
481,2,24,2,212,7
482,1,24,23,210,7
483,2,19,14,210,7
484,2,33,7,207,7
485,2,19,14,203,7
486,2,19,32,201,7
487,2,29,23,199,7
488,2,17,29,198,7
489,2,21,37,197,7
490,2,20,27,195,7
491,2,21,18,195,7
492,1,22,37,195,7
493,2,20,23,190,7
494,1,20,22,274,2
495,1,18,16,262,2
496,1,16,3,248,2
497,1,18,7,244,2
498,1,22,22,242,2
499,1,22,18,240,2
500,2,19,7,238,2
501,1,18,4,238,2
502,1,17,21,236,2
503,1,18,16,234,2
504,1,22,14,233,2
505,1,19,26,231,2
506,1,16,12,231,2
507,1,17,16,230,2
508,1,18,25,227,2
509,1,23,16,226,2
510,1,16,30,224,2
511,1,20,1,224,2
512,1,18,11,224,2
513,1,19,22,223,2
514,1,17,12,222,2
515,1,19,18,222,2
516,1,17,10,222,2
517,1,20,23,221,2
518,1,17,4,220,2
519,1,17,8,220,2
520,1,19,26,219,24
521,1,15,23,217,2
522,2,19,7,217,2
523,1,20,22,216,2
524,1,23,11,216,2
525,1,27,37,215,2
526,1,19,29,287,3
527,1,20,29,278,3
528,1,23,4,266,13
529,1,22,16,263,3
530,1,15,30,260,3
531,1,17,28,260,3
532,1,25,7,254,3
533,2,16,16,253,3
534,1,19,23,252,3
535,1,18,5,252,3
536,1,17,10,247,3
537,1,33,16,243,3
538,1,17,22,243,3
539,1,16,28,242,3
540,1,17,9,241,3
541,1,31,7,241,3
542,1,18,29,240,3
543,1,18,30,239,3
544,1,19,1,238,3
545,2,18,16,236,3
546,1,19,22,234,3
547,1,22,14,234,3
548,1,19,18,234,3
549,1,19,10,234,3
550,1,20,7,234,3
551,1,19,12,231,3
552,1,25,22,229,3
553,1,21,25,228,3
554,1,22,2,228,3
555,1,16,4,227,3
556,1,21,31,227,3
557,1,16,37,226,3
558,1,23,30,259,12
559,1,25,3,258,12
560,1,18,4,254,12
561,1,16,22,253,12
562,2,17,4,252,12
563,1,17,16,252,12
564,1,20,22,251,12
565,1,17,5,244,12
566,1,18,22,240,12
567,1,18,22,239,12
568,1,18,10,236,12
569,2,17,4,233,12
570,1,16,12,232,12
571,1,17,10,231,12
572,1,16,7,231,12
573,1,22,18,231,12
574,1,18,16,229,12
575,1,18,4,229,12
576,1,19,10,228,12
577,1,20,30,228,12
578,1,20,7,227,12
579,1,19,9,226,12
580,2,19,18,226,12
581,1,19,29,224,12
582,1,19,3,224,12
583,1,18,23,223,12
584,1,29,9,222,12
585,1,17,14,221,12
586,2,18,22,217,12
587,1,19,5,217,12
588,1,25,11,216,12
589,1,25,12,300,18
590,1,18,1,257,18
591,1,21,7,255,18
592,1,17,4,253,18
593,1,16,13,246,18
594,1,18,28,245,18
595,1,19,11,242,18
596,1,16,27,241,18
597,1,18,30,240,18
598,1,18,10,238,18
599,1,19,30,236,18
600,1,18,8,236,18
601,1,17,24,236,18
602,1,15,10,232,18
603,1,20,14,232,18
604,1,19,10,231,18
605,1,21,4,229,18
606,1,22,3,228,18
607,1,16,7,228,18
608,1,17,30,227,18
609,1,18,32,227,18
610,1,18,1,226,18
611,1,18,9,225,18
612,1,15,22,224,18
613,1,19,27,224,18
614,1,21,9,222,18
615,1,16,11,220,18
616,1,23,22,215,18
617,1,16,2,214,18
618,1,23,7,214,18
619,1,25,18,211,18
620,1,23,26,206,18
621,1,20,22,327,28
622,1,19,4,325,28
623,2,18,7,292,28
624,2,20,29,291,28
625,1,18,23,289,28
626,1,19,14,283,28
627,1,19,14,280,28
628,2,19,28,279,28
629,1,17,16,279,28
630,1,18,30,279,28
631,1,21,28,277,28
632,1,20,29,277,28
633,2,19,23,277,28
