SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
898,1,26,31,203,24
899,1,17,16,202,24
900,1,22,13,201,24
901,2,22,13,200,24
902,1,22,27,200,24
903,1,23,30,200,24
904,1,27,2,200,24
905,1,23,30,198,24
906,2,20,4,198,24
907,1,33,7,196,24
908,2,19,7,196,24
909,2,20,4,195,24
910,1,19,28,194,24
911,2,20,7,193,24
912,1,24,22,193,24
913,1,17,30,191,24
914,1,19,7,190,24
915,2,19,18,190,24
916,1,33,22,190,24
917,2,19,22,189,24
918,1,29,22,187,24
919,1,20,12,186,24
920,1,22,30,186,24
921,1,18,23,185,24
922,1,18,16,182,24
923,2,22,29,181,24
924,2,18,30,180,24
925,1,26,18,180,6
926,1,21,37,252,8
927,1,23,10,239,8
928,1,18,16,234,8
929,2,17,22,232,8
930,2,21,28,230,8
931,2,21,34,228,8
932,1,18,7,228,8
933,2,20,14,227,8
934,1,22,29,225,8
935,2,17,10,222,8
936,2,16,27,220,8
937,2,20,28,220,8
938,2,21,13,220,8
939,2,18,12,220,8
940,2,27,23,219,8
941,1,21,28,219,8
942,2,17,10,218,8
943,2,20,23,218,8
944,1,20,31,218,8
945,1,18,18,217,8
946,1,21,22,216,8
947,1,25,10,216,8
948,1,18,4,216,8
949,1,17,37,215,8
950,2,18,22,215,8
951,1,22,22,214,8
952,1,18,24,214,8
953,2,19,16,214,8
954,2,20,12,214,8
955,1,19,13,213,8
956,2,19,4,213,8
957,1,17,18,213,8
958,2,24,22,213,8
959,2,20,25,212,8
960,1,18,8,212,8
961,2,19,25,211,8
962,2,21,22,210,8
963,2,17,7,209,8
964,1,23,5,209,8
965,2,22,7,208,8
966,2,21,7,207,8
967,2,20,14,207,8
968,2,19,30,207,8
969,2,19,29,207,8
970,1,19,10,206,8
971,2,19,12,205,8
972,2,18,27,204,8
973,2,22,22,204,8
974,1,19,1,204,8
975,1,24,24,203,8
976,1,22,28,203,8
977,1,18,37,203,8
978,1,19,8,201,11
979,1,19,37,201,8
980,2,17,16,198,8
981,1,22,37,198,8
982,1,17,31,198,8
983,2,20,23,196,8
984,1,22,19,196,8
985,2,18,26,195,8
986,2,28,23,194,8
987,2,20,23,190,8
988,2,20,9,184,8
989,1,24,18,182,8
990,1,17,34,293,11
991,2,19,14,278,11
992,2,16,22,270,11
993,2,21,16,266,11
994,2,17,7,264,11
995,1,22,7,261,14
996,2,22,23,260,11
997,1,19,16,260,11
998,1,22,7,254,11
999,2,19,22,249,14
1000,2,18,22,248,11
1001,2,17,27,247,11
1002,2,19,4,246,11
1003,2,17,24,243,11
1004,1,16,28,242,11
1005,1,21,7,240,11
1006,1,21,24,237,24
1007,1,23,14,237,21
1008,1,19,13,237,11
1009,1,20,22,237,11
1010,2,17,12,237,11
1011,1,17,16,236,11
1012,1,23,27,235,15
1013,2,22,4,234,11
1014,1,20,25,234,11
1015,2,20,16,233,11
1016,1,21,18,232,11
1017,2,19,22,232,11
1018,1,28,7,232,11
1019,2,18,30,232,11
1020,1,20,12,231,14
1021,1,16,30,231,5
1022,2,24,9,230,11
1023,1,21,4,229,11
1024,1,20,28,229,11
1025,1,18,18,229,11
1026,1,16,37,228,11
1027,1,22,3,227,11
1028,1,22,29,227,11
1029,2,22,3,226,11
1030,2,19,7,226,11
1031,1,18,14,226,11
1032,2,21,13,226,11
1033,1,18,7,225,11
1034,2,19,12,225,11
1035,1,20,16,225,14
1036,1,18,24,225,11
1037,1,23,22,224,11
1038,1,28,3,224,14
1039,2,19,11,224,11
1040,1,18,22,223,11
1041,1,20,21,222,11
1042,2,19,22,222,11
1043,1,20,4,222,11
